scenario_id,timestamp,outage_line_count,disconnected_load_count
52,2024-09-01 00:00:00,15,4
52,2024-09-01 01:00:00,1,0
52,2024-09-01 02:00:00,0,0
52,2024-09-01 03:00:00,3,3
52,2024-09-01 04:00:00,0,0
52,2024-09-01 05:00:00,0,0
53,2024-09-01 00:00:00,15,4
53,2024-09-01 01:00:00,1,0
53,2024-09-01 02:00:00,0,0
53,2024-09-01 03:00:00,3,3
53,2024-09-01 04:00:00,0,0
53,2024-09-01 05:00:00,0,0
54,2024-09-01 00:00:00,15,4
54,2024-09-01 01:00:00,1,0
54,2024-09-01 02:00:00,0,0
54,2024-09-01 03:00:00,3,3
54,2024-09-01 04:00:00,0,0
54,2024-09-01 05:00:00,0,0
55,2024-09-01 00:00:00,15,4
55,2024-09-01 01:00:00,1,0
55,2024-09-01 02:00:00,0,0
55,2024-09-01 03:00:00,3,3
55,2024-09-01 04:00:00,0,0
55,2024-09-01 05:00:00,0,0
56,2024-09-01 00:00:00,15,4
56,2024-09-01 01:00:00,2,0
56,2024-09-01 02:00:00,0,0
56,2024-09-01 03:00:00,3,3
56,2024-09-01 04:00:00,0,0
56,2024-09-01 05:00:00,0,0
57,2024-09-01 00:00:00,15,4
57,2024-09-01 01:00:00,1,0
57,2024-09-01 02:00:00,0,0
57,2024-09-01 03:00:00,3,3
57,2024-09-01 04:00:00,0,0
57,2024-09-01 05:00:00,0,0
58,2024-09-01 00:00:00,15,4
58,2024-09-01 01:00:00,1,0
58,2024-09-01 02:00:00,0,0
58,2024-09-01 03:00:00,3,3
58,2024-09-01 04:00:00,0,0
58,2024-09-01 05:00:00,0,0
59,2024-09-01 00:00:00,15,4
59,2024-09-01 01:00:00,1,0
59,2024-09-01 02:00:00,0,0
59,2024-09-01 03:00:00,2,2
59,2024-09-01 04:00:00,0,0
59,2024-09-01 05:00:00,0,0
60,2024-09-01 00:00:00,15,4
60,2024-09-01 01:00:00,1,0
60,2024-09-01 02:00:00,0,0
60,2024-09-01 03:00:00,3,3
60,2024-09-01 04:00:00,0,0
60,2024-09-01 05:00:00,0,0
61,2024-09-01 00:00:00,15,4
61,2024-09-01 01:00:00,1,0
61,2024-09-01 02:00:00,0,0
61,2024-09-01 03:00:00,2,2
61,2024-09-01 04:00:00,0,0
61,2024-09-01 05:00:00,0,0
62,2024-09-01 00:00:00,15,4
62,2024-09-01 01:00:00,1,0
62,2024-09-01 02:00:00,0,0
62,2024-09-01 03:00:00,3,3
62,2024-09-01 04:00:00,0,0
62,2024-09-01 05:00:00,0,0
63,2024-09-01 00:00:00,15,4
63,2024-09-01 01:00:00,1,0
63,2024-09-01 02:00:00,0,0
63,2024-09-01 03:00:00,3,3
63,2024-09-01 04:00:00,0,0
63,2024-09-01 05:00:00,0,0
64,2024-09-01 00:00:00,15,4
64,2024-09-01 01:00:00,2,0
64,2024-09-01 02:00:00,0,0
64,2024-09-01 03:00:00,2,2
64,2024-09-01 04:00:00,0,0
64,2024-09-01 05:00:00,0,0
65,2024-09-01 00:00:00,15,4
65,2024-09-01 01:00:00,2,0
65,2024-09-01 02:00:00,0,0
65,2024-09-01 03:00:00,2,2
65,2024-09-01 04:00:00,0,0
65,2024-09-01 05:00:00,0,0
66,2024-09-01 00:00:00,15,4
66,2024-09-01 01:00:00,1,0
66,2024-09-01 02:00:00,0,0
66,2024-09-01 03:00:00,3,3
66,2024-09-01 04:00:00,0,0
66,2024-09-01 05:00:00,0,0
67,2024-09-01 00:00:00,15,4
67,2024-09-01 01:00:00,1,0
67,2024-09-01 02:00:00,0,0
67,2024-09-01 03:00:00,3,3
67,2024-09-01 04:00:00,0,0
67,2024-09-01 05:00:00,0,0
68,2024-09-01 00:00:00,15,4
68,2024-09-01 01:00:00,1,0
68,2024-09-01 02:00:00,0,0
68,2024-09-01 03:00:00,3,3
68,2024-09-01 04:00:00,0,0
68,2024-09-01 05:00:00,0,0
69,2024-09-01 00:00:00,15,4
69,2024-09-01 01:00:00,1,0
69,2024-09-01 02:00:00,0,0
69,2024-09-01 03:00:00,2,2
69,2024-09-01 04:00:00,0,0
69,2024-09-01 05:00:00,0,0
70,2024-09-01 00:00:00,15,4
70,2024-09-01 01:00:00,1,0
70,2024-09-01 02:00:00,0,0
70,2024-09-01 03:00:00,3,3
70,2024-09-01 04:00:00,0,0
70,2024-09-01 05:00:00,0,0
71,2024-09-01 00:00:00,15,4
71,2024-09-01 01:00:00,2,0
71,2024-09-01 02:00:00,0,0
71,2024-09-01 03:00:00,3,3
71,2024-09-01 04:00:00,0,0
71,2024-09-01 05:00:00,0,0
72,2024-09-01 00:00:00,15,4
72,2024-09-01 01:00:00,1,0
72,2024-09-01 02:00:00,0,0
72,2024-09-01 03:00:00,2,2
72,2024-09-01 04:00:00,0,0
72,2024-09-01 05:00:00,0,0
73,2024-09-01 00:00:00,15,4
73,2024-09-01 01:00:00,1,0
73,2024-09-01 02:00:00,0,0
73,2024-09-01 03:00:00,3,3
73,2024-09-01 04:00:00,0,0
73,2024-09-01 05:00:00,0,0
74,2024-09-01 00:00:00,15,4
74,2024-09-01 01:00:00,1,0
74,2024-09-01 02:00:00,0,0
74,2024-09-01 03:00:00,3,3
74,2024-09-01 04:00:00,0,0
74,2024-09-01 05:00:00,0,0
75,2024-09-01 00:00:00,15,4
75,2024-09-01 01:00:00,1,0
75,2024-09-01 02:00:00,0,0
75,2024-09-01 03:00:00,3,3
75,2024-09-01 04:00:00,0,0
75,2024-09-01 05:00:00,0,0
76,2024-09-01 00:00:00,15,4
76,2024-09-01 01:00:00,2,0
76,2024-09-01 02:00:00,0,0
76,2024-09-01 03:00:00,2,2
76,2024-09-01 04:00:00,0,0
76,2024-09-01 05:00:00,0,0
77,2024-09-01 00:00:00,15,4
77,2024-09-01 01:00:00,1,0
77,2024-09-01 02:00:00,0,0
77,2024-09-01 03:00:00,3,3
77,2024-09-01 04:00:00,0,0
77,2024-09-01 05:00:00,0,0
78,2024-09-01 00:00:00,15,4
78,2024-09-01 01:00:00,1,0
78,2024-09-01 02:00:00,0,0
78,2024-09-01 03:00:00,2,2
78,2024-09-01 04:00:00,0,0
78,2024-09-01 05:00:00,0,0
79,2024-09-01 00:00:00,15,4
79,2024-09-01 01:00:00,1,0
79,2024-09-01 02:00:00,0,0
79,2024-09-01 03:00:00,2,2
79,2024-09-01 04:00:00,0,0
79,2024-09-01 05:00:00,0,0
80,2024-09-01 00:00:00,15,4
80,2024-09-01 01:00:00,2,0
80,2024-09-01 02:00:00,0,0
80,2024-09-01 03:00:00,2,2
80,2024-09-01 04:00:00,0,0
80,2024-09-01 05:00:00,0,0
81,2024-09-01 00:00:00,15,4
81,2024-09-01 01:00:00,1,0
81,2024-09-01 02:00:00,0,0
81,2024-09-01 03:00:00,2,2
81,2024-09-01 04:00:00,0,0
81,2024-09-01 05:00:00,0,0
82,2024-09-01 00:00:00,15,4
82,2024-09-01 01:00:00,1,0
82,2024-09-01 02:00:00,0,0
82,2024-09-01 03:00:00,3,3
82,2024-09-01 04:00:00,0,0
82,2024-09-01 05:00:00,0,0
83,2024-09-01 00:00:00,15,4
83,2024-09-01 01:00:00,2,0
83,2024-09-01 02:00:00,0,0
