run_name,run_dir,status,return_code,skipped,wall_seconds,block,case_id,seed,label_method,model_group,contingency_tensor,metapath_v1_enabled,metapath_attention_mode,metapath_topk,hidden_dim,epochs,lr,weight_decay,train_ratio,risk_weight_alpha,risk_weight_beta,risk_weight_threshold,metapath_gate_reg_lambda,metapath_attention_entropy_reg_lambda,metapath_warmup_epochs,val_mae,val_rmse,val_high_risk_mae,best_val_mse,metapath_gate_mean,epochs_effective,metapath_attention_mode_reported
0031_A_label-wang_qmc_group-A2_metapath_adaptive_global_seed-45,C:\Users\yuhan\Desktop\gridagent1\results\early_warning\stage6_planA_full_20260415_20260415_002847\0031_A_label-wang_qmc_group-A2_metapath_adaptive_global_seed-45,ok,0,True,0.0,A,A_label-wang_qmc_group-A2_metapath_adaptive_global_seed-45,45,wang_qmc,A2_metapath_adaptive_global,C:\Users\yuhan\Desktop\gridagent1\results\spatiotemporal_contingency\formal2024_schloemer72h\contingency_tensor_wang_qmc.npy,True,adaptive_global,4,80,700,0.0042,5e-05,0.7,0.0,0.0,0.1,0.0,0.0,0,0.38421453562649815,0.4472709295675466,0.24403545781970024,0.20005129277706146,0.07487341585672563,61.0,adaptive_global
0032_A_label-wang_qmc_group-A3_metapath_adaptive_context_seed-45,C:\Users\yuhan\Desktop\gridagent1\results\early_warning\stage6_planA_full_20260415_20260415_002847\0032_A_label-wang_qmc_group-A3_metapath_adaptive_context_seed-45,ok,0,True,0.0,A,A_label-wang_qmc_group-A3_metapath_adaptive_context_seed-45,45,wang_qmc,A3_metapath_adaptive_context,C:\Users\yuhan\Desktop\gridagent1\results\spatiotemporal_contingency\formal2024_schloemer72h\contingency_tensor_wang_qmc.npy,True,adaptive_context,4,80,700,0.0042,5e-05,0.7,0.0,0.0,0.1,0.0,0.0,0,0.3495546743725285,0.45688998261061453,0.16939628248413405,0.2087484747171402,0.06013086955580446,61.0,adaptive_context
0033_A_label-c3po_ref_group-A0_baseline_seed-46,C:\Users\yuhan\Desktop\gridagent1\results\early_warning\stage6_planA_full_20260415_20260415_002847\0033_A_label-c3po_ref_group-A0_baseline_seed-46,ok,0,False,32.58857800002443,A,A_label-c3po_ref_group-A0_baseline_seed-46,46,c3po_ref,A0_baseline,C:\Users\yuhan\Desktop\gridagent1\results\spatiotemporal_contingency\formal2024_schloemer72h\contingency_tensor_c3po_ref.npy,False,fixed,4,80,700,0.0042,5e-05,0.7,0.0,0.0,0.1,0.0,0.0,0,0.13249231981057108,0.15675603401660657,0.3660804875768148,0.024572456255555153,,61.0,disabled
0034_A_label-c3po_ref_group-A1_metapath_fixed_seed-46,C:\Users\yuhan\Desktop\gridagent1\results\early_warning\stage6_planA_full_20260415_20260415_002847\0034_A_label-c3po_ref_group-A1_metapath_fixed_seed-46,ok,0,False,340.5165907999908,A,A_label-c3po_ref_group-A1_metapath_fixed_seed-46,46,c3po_ref,A1_metapath_fixed,C:\Users\yuhan\Desktop\gridagent1\results\spatiotemporal_contingency\formal2024_schloemer72h\contingency_tensor_c3po_ref.npy,True,fixed,4,80,700,0.0042,5e-05,0.7,0.0,0.0,0.1,0.0,0.0,0,0.032419423198778975,0.050264878623872224,0.094234076830057,0.0025265582371503115,0.999999058743318,213.0,fixed
0035_A_label-c3po_ref_group-A2_metapath_adaptive_global_seed-46,C:\Users\yuhan\Desktop\gridagent1\results\early_warning\stage6_planA_full_20260415_20260415_002847\0035_A_label-c3po_ref_group-A2_metapath_adaptive_global_seed-46,ok,0,False,397.1212295999867,A,A_label-c3po_ref_group-A2_metapath_adaptive_global_seed-46,46,c3po_ref,A2_metapath_adaptive_global,C:\Users\yuhan\Desktop\gridagent1\results\spatiotemporal_contingency\formal2024_schloemer72h\contingency_tensor_c3po_ref.npy,True,adaptive_global,4,80,700,0.0042,5e-05,0.7,0.0,0.0,0.1,0.0,0.0,0,0.03312404627601306,0.050724247484336314,0.09025166900112079,0.0025729492772370577,0.9999990165233612,218.0,adaptive_global
0036_A_label-c3po_ref_group-A3_metapath_adaptive_context_seed-46,C:\Users\yuhan\Desktop\gridagent1\results\early_warning\stage6_planA_full_20260415_20260415_002847\0036_A_label-c3po_ref_group-A3_metapath_adaptive_context_seed-46,ok,0,False,530.4648976999742,A,A_label-c3po_ref_group-A3_metapath_adaptive_context_seed-46,46,c3po_ref,A3_metapath_adaptive_context,C:\Users\yuhan\Desktop\gridagent1\results\spatiotemporal_contingency\formal2024_schloemer72h\contingency_tensor_c3po_ref.npy,True,adaptive_context,4,80,700,0.0042,5e-05,0.7,0.0,0.0,0.1,0.0,0.0,0,0.03091405103561666,0.0494243733769539,0.10584042192651676,0.002442768542096019,0.9999923681219419,286.0,adaptive_context
0037_A_label-wang_qmc_group-A0_baseline_seed-46,C:\Users\yuhan\Desktop\gridagent1\results\early_warning\stage6_planA_full_20260415_20260415_002847\0037_A_label-wang_qmc_group-A0_baseline_seed-46,ok,0,False,80.62446659998386,A,A_label-wang_qmc_group-A0_baseline_seed-46,46,wang_qmc,A0_baseline,C:\Users\yuhan\Desktop\gridagent1\results\spatiotemporal_contingency\formal2024_schloemer72h\contingency_tensor_wang_qmc.npy,False,fixed,4,80,700,0.0042,5e-05,0.7,0.0,0.0,0.1,0.0,0.0,0,0.36950312834797483,0.4495063475048689,0.2127555678288142,0.20205597579479218,,62.0,disabled
0038_A_label-wang_qmc_group-A1_metapath_fixed_seed-46,C:\Users\yuhan\Desktop\gridagent1\results\early_warning\stage6_planA_full_20260415_20260415_002847\0038_A_label-wang_qmc_group-A1_metapath_fixed_seed-46,ok,0,False,122.42618060001405,A,A_label-wang_qmc_group-A1_metapath_fixed_seed-46,46,wang_qmc,A1_metapath_fixed,C:\Users\yuhan\Desktop\gridagent1\results\spatiotemporal_contingency\formal2024_schloemer72h\contingency_tensor_wang_qmc.npy,True,fixed,4,80,700,0.0042,5e-05,0.7,0.0,0.0,0.1,0.0,0.0,0,0.3992253930279703,0.44463505879337056,0.27941288153330485,0.19770032167434692,0.06355842249467969,61.0,fixed
0039_A_label-wang_qmc_group-A2_metapath_adaptive_global_seed-46,C:\Users\yuhan\Desktop\gridagent1\results\early_warning\stage6_planA_full_20260415_20260415_002847\0039_A_label-wang_qmc_group-A2_metapath_adaptive_global_seed-46,ok,0,False,128.7883654999896,A,A_label-wang_qmc_group-A2_metapath_adaptive_global_seed-46,46,wang_qmc,A2_metapath_adaptive_global,C:\Users\yuhan\Desktop\gridagent1\results\spatiotemporal_contingency\formal2024_schloemer72h\contingency_tensor_wang_qmc.npy,True,adaptive_global,4,80,700,0.0042,5e-05,0.7,0.0,0.0,0.1,0.0,0.0,0,0.3992253861644051,0.4446350576448536,0.2794128681222598,0.19770032167434692,0.06355839258887702,61.0,adaptive_global
0040_A_label-wang_qmc_group-A3_metapath_adaptive_context_seed-46,C:\Users\yuhan\Desktop\gridagent1\results\early_warning\stage6_planA_full_20260415_20260415_002847\0040_A_label-wang_qmc_group-A3_metapath_adaptive_context_seed-46,ok,0,False,135.27185609997832,A,A_label-wang_qmc_group-A3_metapath_adaptive_context_seed-46,46,wang_qmc,A3_metapath_adaptive_context,C:\Users\yuhan\Desktop\gridagent1\results\spatiotemporal_contingency\formal2024_schloemer72h\contingency_tensor_wang_qmc.npy,True,adaptive_context,4,80,700,0.0042,5e-05,0.7,0.0,0.0,0.1,0.0,0.0,0,0.3944753216974663,0.4450889866034319,0.26827531481782596,0.19810420274734497,0.145360401728087,61.0,adaptive_context
