wind_renewables_ninja_wind_electricity,pv_renewables_ninja_pv_electricity
0.14078674948240166,0.0
0.13664596273291926,0.0
0.14389233954451347,0.0
0.12422360248447205,0.03865336658354115
0.04347826086956522,0.24688279301745636
0.045548654244306416,0.49875311720698257
0.038302277432712216,0.6932668329177057
0.02173913043478261,0.7830423940149626
0.009316770186335404,0.8067331670822943
0.004140786749482402,0.7668329177057356
0.0031055900621118015,0.6645885286783042
0.0031055900621118015,0.48753117206982544
0.0031055900621118015,0.23566084788029923
0.007246376811594203,0.028678304239401493
0.012422360248447206,0.0
0.015527950310559006,0.0
0.016563146997929608,0.0
0.018633540372670808,0.0
0.020703933747412008,0.0
0.02484472049689441,0.0
0.032091097308488616,0.0
0.053830227743271224,0.0
0.09523809523809523,0.0
0.15424430641821946,0.0
0.21325051759834368,0.0
0.23602484472049692,0.0
0.2236024844720497,0.0
0.17080745341614909,0.03366583541147132
0.055900621118012424,0.2082294264339152
0.061076604554865424,0.38653366583541143
0.061076604554865424,0.5211970074812967
0.028985507246376812,0.614713216957606
0.011387163561076604,0.614713216957606
0.005175983436853002,0.5561097256857855
0.002070393374741201,0.4226932668329177
0.0010351966873706005,0.2630922693266833
0.0010351966873706005,0.1109725685785536
0.0031055900621118015,0.003740648379052369
0.012422360248447206,0.0
0.028985507246376812,0.0
