line_id,input_p_mean,empirical_p_mean,absolute_error_mean
L3,0.0022306303986868235,0.0021158854166666665,0.00011474498202015699
L47,0.0020433963179506513,0.0014105902777777778,0.0006328060401728736
L45,0.0016467659915906415,0.0016276041666666667,1.9161824923974793e-05
L4,0.0013557595472457882,0.0014105902777777778,5.483073053198957e-05
L184,0.0013537972080422383,0.0013563368055555555,2.539597513317223e-06
L10,0.0012052728902256955,0.001193576388888889,1.1696501336806546e-05
L43,0.0011720024804762767,0.0007052951388888889,0.00046670734158738784
L9,0.0011655288077816034,0.0010308159722222222,0.00013471283555938117
L2,0.0007909096050113682,0.0007595486111111111,3.136099390025704e-05
L46,0.0005916825012031572,0.0002712673611111111,0.00032041514009204604
L1,0.00047961358124329274,0.00037977430555555556,9.983927568773718e-05
L0,0.00024151268167516872,0.00016276041666666666,7.875226500850206e-05
