scenario,scenario_id,timestamp,failed_lines,outage_line_count,disconnected_load_count,probability,method
S2,1,2024-09-01 10:00:00,,0,0,0.00390625,c3po_ref
S2,1,2024-09-01 11:00:00,,0,0,0.00390625,c3po_ref
S2,1,2024-09-01 12:00:00,,0,0,0.00390625,c3po_ref
S2,1,2024-09-01 13:00:00,,0,0,0.00390625,c3po_ref
S2,1,2024-09-01 14:00:00,,0,0,0.00390625,c3po_ref
S2,1,2024-09-01 15:00:00,,0,0,0.00390625,c3po_ref
S2,1,2024-09-01 16:00:00,,0,0,0.00390625,c3po_ref
S2,1,2024-09-01 17:00:00,,0,0,0.00390625,c3po_ref
S2,1,2024-09-01 18:00:00,L136,1,0,0.00390625,c3po_ref
S2,1,2024-09-01 19:00:00,L136|L160,2,0,0.00390625,c3po_ref
S2,1,2024-09-01 20:00:00,,0,0,0.00390625,c3po_ref
S2,1,2024-09-01 21:00:00,L118|L138|L159|L160,4,0,0.00390625,c3po_ref
S2,1,2024-09-01 22:00:00,L128|L138|L159|L161|L162|L165|L167|L182|L185,9,0,0.00390625,c3po_ref
S2,1,2024-09-01 23:00:00,L113|L116|L117|L128|L137|L155|L158|L161|L163|L179|L185,11,0,0.00390625,c3po_ref
S2,1,2024-09-02 00:00:00,L114|L115|L116|L122|L129|L137|L138|L140|L156|L167|L169|L170|L175|L176|L185|L93,16,0,0.00390625,c3po_ref
S2,1,2024-09-02 01:00:00,L108|L110|L111|L115|L130|L137|L138|L152|L154|L156|L171|L175|L179|L185|L73|L78|L81|L82|L86,19,0,0.00390625,c3po_ref
S2,1,2024-09-02 02:00:00,L108|L111|L113|L152|L154|L155|L157|L175|L176|L178|L180|L185|L73|L75|L78|L79|L89,17,1,0.00390625,c3po_ref
S2,1,2024-09-02 03:00:00,L104|L108|L110|L111|L113|L137|L146|L151|L153|L157|L169|L179|L185|L35|L66|L79|L80|L81|L83|L86|L87|L88|L89|L94|L95|L96|L98,27,4,0.00390625,c3po_ref
S2,1,2024-09-02 04:00:00,L102|L108|L109|L110|L111|L112|L139|L141|L142|L146|L150|L151|L152|L153|L154|L179|L185|L67|L70|L72|L73|L74|L75|L77|L79|L80|L81|L85|L86|L87|L88|L90|L91|L92|L96|L97,36,5,0.00390625,c3po_ref
S2,1,2024-09-02 05:00:00,L107|L108|L110|L111|L112|L141|L143|L145|L146|L148|L149|L150|L151|L180|L41|L67|L70|L71|L72|L74|L77|L78|L80|L82|L85|L86|L87|L88|L89|L91|L92|L95|L96|L97|L99,35,9,0.00390625,c3po_ref
S2,1,2024-09-02 06:00:00,L100|L101|L103|L105|L106|L107|L108|L110|L111|L112|L142|L146|L147|L148|L149|L150|L41|L60|L62|L65|L66|L68|L69|L70|L71|L72|L74|L77|L78|L81|L82|L83|L85|L87|L89|L90|L91|L92|L94|L95,40,6,0.00390625,c3po_ref
S2,1,2024-09-02 07:00:00,L101|L102|L104|L106|L108|L110|L141|L143|L145|L146|L148|L149|L153|L31|L32|L33|L37|L41|L49|L53|L61|L64|L65|L66|L67|L69|L72|L77|L78|L79|L80|L82|L85|L88|L89|L91|L96|L97|L98,39,9,0.00390625,c3po_ref
S2,1,2024-09-02 08:00:00,L100|L103|L104|L105|L106|L108|L109|L110|L141|L142|L143|L144|L145|L146|L148|L41|L48|L49|L55|L61|L63|L65|L66|L69|L70|L81|L82|L83|L85|L86|L87|L88|L90|L92|L93|L96|L97|L98,38,5,0.00390625,c3po_ref
S2,1,2024-09-02 09:00:00,L100|L103|L104|L105|L106|L107|L108|L110|L112|L141|L143|L144|L145|L146|L147|L149|L48|L53|L55|L57|L58|L59|L60|L61|L63|L64|L66|L82|L83|L85|L88|L89|L90|L92|L94|L95|L96|L97|L98|L99,40,8,0.00390625,c3po_ref
S2,1,2024-09-02 10:00:00,L100|L101|L103|L104|L105|L106|L107|L108|L112|L144|L146|L147|L148|L150|L27|L31|L48|L54|L56|L57|L60|L61|L81|L85|L87|L88|L89|L91|L92|L94|L95|L96|L97|L98|L99,35,5,0.00390625,c3po_ref
S2,1,2024-09-02 11:00:00,L101|L102|L104|L105|L106|L107|L108|L112|L13|L147|L21|L28|L32|L40|L48|L54|L57|L59|L63|L85|L86|L87|L89|L90|L91|L93|L94|L95|L97|L99,30,6,0.00390625,c3po_ref
S2,1,2024-09-02 12:00:00,L101|L102|L103|L104|L106|L107|L108|L147|L81|L85|L88|L89|L92|L94|L95|L98|L99,17,3,0.00390625,c3po_ref
S2,1,2024-09-02 13:00:00,L100|L101|L103|L106|L108|L147|L171|L41|L80|L85|L87|L88|L91|L92|L93|L94,16,0,0.00390625,c3po_ref
S2,1,2024-09-02 14:00:00,L100|L101|L106|L14|L144|L147|L153|L159|L17|L6|L80|L81|L85|L89|L90|L91|L92|L99,18,1,0.00390625,c3po_ref
S2,1,2024-09-02 15:00:00,L100|L101|L102|L106|L108|L122|L153|L164|L78|L99,10,1,0.00390625,c3po_ref
S2,1,2024-09-02 16:00:00,L106|L107|L108|L147|L152|L159|L169|L179,8,0,0.00390625,c3po_ref
S2,1,2024-09-02 17:00:00,L101|L146|L149|L5|L76|L79|L80|L97,8,0,0.00390625,c3po_ref
S2,1,2024-09-02 18:00:00,L102|L106|L112|L145|L147|L178,6,0,0.00390625,c3po_ref
S2,1,2024-09-02 19:00:00,L106|L110|L111|L145,4,0,0.00390625,c3po_ref
S2,1,2024-09-02 20:00:00,L108|L112|L147|L81,4,0,0.00390625,c3po_ref
S2,1,2024-09-02 21:00:00,L110|L147,2,0,0.00390625,c3po_ref
S2,1,2024-09-02 22:00:00,,0,0,0.00390625,c3po_ref
S2,1,2024-09-02 23:00:00,,0,0,0.00390625,c3po_ref
S2,1,2024-09-03 00:00:00,,0,0,0.00390625,c3po_ref
S2,1,2024-09-03 01:00:00,,0,0,0.00390625,c3po_ref
S2,1,2024-09-03 02:00:00,,0,0,0.00390625,c3po_ref
S2,1,2024-09-03 03:00:00,,0,0,0.00390625,c3po_ref
S2,1,2024-09-03 04:00:00,,0,0,0.00390625,c3po_ref
