category,severity,timestamp,entity,rule,value,threshold,detail
load,critical,2024-09-01 07:00:00,bus:11,shed<=demand,0.0683435060175474,0.0569529216812895,Load shedding exceeds demand.
load,critical,2024-09-01 07:00:00,bus:11,served>=0,-0.0113905843362579,0.0,Negative served load.
load,critical,2024-09-01 07:00:00,bus:12,shed<=demand,0.0683435060175474,0.0569529216812895,Load shedding exceeds demand.
load,critical,2024-09-01 07:00:00,bus:12,served>=0,-0.0113905843362579,0.0,Negative served load.
load,critical,2024-09-01 07:00:00,bus:13,shed<=demand,0.0683435060175474,0.0569529216812895,Load shedding exceeds demand.
load,critical,2024-09-01 07:00:00,bus:13,served>=0,-0.0113905843362579,0.0,Negative served load.
load,critical,2024-09-01 07:00:00,bus:14,shed<=demand,0.0683435060175474,0.0569529216812895,Load shedding exceeds demand.
load,critical,2024-09-01 07:00:00,bus:14,served>=0,-0.0113905843362579,0.0,Negative served load.
load,critical,2024-09-01 08:00:00,bus:9,shed<=demand,0.0944145339441811,0.0786787782868176,Load shedding exceeds demand.
load,critical,2024-09-01 08:00:00,bus:9,served>=0,-0.0157357556573635,0.0,Negative served load.
load,critical,2024-09-01 08:00:00,bus:10,shed<=demand,0.0674389528172722,0.0561991273477269,Load shedding exceeds demand.
load,critical,2024-09-01 08:00:00,bus:10,served>=0,-0.0112398254695453,0.0,Negative served load.
load,critical,2024-09-01 08:00:00,bus:11,shed<=demand,0.0674389528172722,0.0561991273477269,Load shedding exceeds demand.
load,critical,2024-09-01 08:00:00,bus:11,served>=0,-0.0112398254695453,0.0,Negative served load.
load,critical,2024-09-01 08:00:00,bus:12,shed<=demand,0.0674389528172722,0.0561991273477269,Load shedding exceeds demand.
load,critical,2024-09-01 08:00:00,bus:12,served>=0,-0.0112398254695453,0.0,Negative served load.
load,critical,2024-09-01 08:00:00,bus:13,shed<=demand,0.0674389528172722,0.0561991273477269,Load shedding exceeds demand.
load,critical,2024-09-01 08:00:00,bus:13,served>=0,-0.0112398254695453,0.0,Negative served load.
load,critical,2024-09-01 08:00:00,bus:14,shed<=demand,0.0674389528172722,0.0561991273477269,Load shedding exceeds demand.
load,critical,2024-09-01 08:00:00,bus:14,served>=0,-0.0112398254695453,0.0,Negative served load.
load,critical,2024-09-01 09:00:00,bus:6,shed<=demand,0.0992478630299997,0.0827065525249997,Load shedding exceeds demand.
load,critical,2024-09-01 09:00:00,bus:6,served>=0,-0.0165413105049999,0.0,Negative served load.
load,critical,2024-09-01 09:00:00,bus:7,shed<=demand,0.0992478630299997,0.0827065525249997,Load shedding exceeds demand.
