timestamp,line_id,from_bus,to_bus,flow_mw,limit_mw,loading,overload_flag,selected_strategy,static_risk_prob,static_risk_level,predicted_fail_hour,hourly_risk_prob,effective_risk_prob,flow_abs_mw,stress_score,high_risk_flag,near_overload_flag,action_priority,recommended_action,critical_line_flag
2024-09-01 05:00:00,L14,14,8,-0.0,4.6258728538101295,0.0,0,Robust_UC,0.683151,LOW,-,0.6765964150576282,0.6765964150576282,0.0,0.30446838677593274,True,False,low,monitor corridor and pre-position reserve,False
2024-09-01 05:00:00,L11,13,14,0.0,4.63655878779627,0.0,0,Robust_UC,0.678129,LOW,-,0.663292918930764,0.663292918930764,0.0,0.29848181351884384,True,False,low,monitor corridor and pre-position reserve,False
2024-09-01 05:00:00,L10,12,13,0.0,4.652438741069581,0.0,0,Robust_UC,0.670666,LOW,-,0.1305142263409246,0.1305142263409246,0.0,0.058731401853416076,False,False,low,monitor,False
2024-09-01 06:00:00,L3,4,5,0.0940262810577863,3.4362151709492705,0.0273633274926177,0,Robust_UC,0.685386,MEDIUM,5,0.6805998210308891,0.6805998210308891,0.0940262810577863,0.3195717792451733,True,False,low,monitor corridor and pre-position reserve,False
2024-09-01 06:00:00,L6,8,9,-0.0709265252653887,3.436276877853165,0.0206405152397674,0,Robust_UC,0.685347,MEDIUM,5,0.6780642800656665,0.6780642800656665,0.0709265252653887,0.315152225584716,True,False,low,monitor corridor and pre-position reserve,False
2024-09-01 06:00:00,L5,7,8,-0.0638504101829227,3.4351471668433957,0.0185873871137799,0,Robust_UC,0.686061,HIGH,5,0.6787590147767735,0.6787590147767735,0.0638504101829227,0.31447041345229576,True,False,low,monitor corridor and pre-position reserve,False
2024-09-01 06:00:00,L13,11,4,0.0594385311918426,3.4367309773767003,0.0172950782540485,0,Robust_UC,0.68506,MEDIUM,5,0.679132426353006,0.679132426353006,0.0594385311918426,0.31401199893949705,True,False,low,monitor corridor and pre-position reserve,False
2024-09-01 06:00:00,L12,6,7,-0.0406509319267569,3.43300324749012,0.0118412156925505,0,Robust_UC,0.687416,HIGH,6,0.6831512672098593,0.6831512672098593,0.0406509319267569,0.3131803640379636,True,False,low,monitor corridor and pre-position reserve,False
2024-09-01 06:00:00,L8,10,11,0.0431428991346887,3.4354288034816856,0.012558228274434,0,Robust_UC,0.685883,HIGH,5,0.6803497811676618,0.6803497811676618,0.0431428991346887,0.3122615789931726,True,False,low,monitor corridor and pre-position reserve,False
2024-09-01 06:00:00,L2,3,4,0.0440498778961987,3.4391438755418253,0.0128083847289636,0,Robust_UC,0.683535,MEDIUM,5,0.6763844927364453,0.6763844927364453,0.0440498778961987,0.3105886349480723,True,False,low,monitor corridor and pre-position reserve,False
2024-09-01 06:00:00,L7,9,10,-0.0220396290939269,3.43507280211306,0.0064160588038685,0,Robust_UC,0.686108,HIGH,5,0.680453008853747,0.680453008853747,0.0220396290939269,0.30932263986915515,True,False,low,monitor corridor and pre-position reserve,False
2024-09-01 06:00:00,L9,3,8,0.0344346019289829,3.4387340784108305,0.0100137437626164,0,Robust_UC,0.683794,MEDIUM,5,0.6753601037625054,0.6753601037625054,0.0344346019289829,0.3087694336153575,True,False,low,monitor corridor and pre-position reserve,False
2024-09-01 06:00:00,L1,2,3,0.0379466078554386,3.440684965910896,0.0110287946241519,0,Robust_UC,0.682561,LOW,-,0.6735609717878054,0.6735609717878054,0.0379466078554386,0.308448228547904,True,False,low,monitor corridor and pre-position reserve,False
2024-09-01 06:00:00,L4,5,6,0.000859785084685,3.4335886719629705,0.000250404217519,0,Robust_UC,0.687046,HIGH,6,0.6840538220099853,0.6840538220099853,0.000859785084685,0.3079461193730333,True,False,low,monitor corridor and pre-position reserve,False
2024-09-01 06:00:00,L0,1,2,0.0379466078554386,3.442276687585725,0.0110236948680766,0,Robust_UC,0.681555,LOW,-,0.6712758833274224,0.6712758833274224,0.0379466078554386,0.30741242880318687,True,False,low,monitor corridor and pre-position reserve,False
2024-09-01 06:00:00,L14,14,8,0.0,4.6258728538101295,0.0,0,Robust_UC,0.683151,LOW,-,0.6722503859393034,0.6722503859393034,0.0,0.3025126736726865,True,False,low,monitor corridor and pre-position reserve,False
2024-09-01 06:00:00,L11,13,14,0.0,4.63655878779627,0.0,0,Robust_UC,0.678129,LOW,-,0.2313976083059689,0.2313976083059689,0.0,0.10412892373768601,False,False,low,monitor,False
2024-09-01 06:00:00,L10,12,13,0.0,4.652438741069581,0.0,0,Robust_UC,0.670666,LOW,-,0.1201566030376348,0.1201566030376348,0.0,0.05407047136693566,False,False,low,monitor,False
